specimen_id,e-type,m-type,me-type,upright_angle,soma_distance_from_pia,estimated_shrinkage_factor,estimated_slice_angle
333604946,Inh_13,Aspiny_8,ME_Inh_12,227.7517436,347.9507403,3.074141049,-21.06279928
333785962,Inh_2,Aspiny_9,ME_Inh_13,133.8739886,519.0500019,2.945876877,-2.26629066
336676216,Inh_9,,,,,,
341016267,Inh_10,,,,,,
341442651,Inh_12,Aspiny_7,ME_Inh_10,225.5643121,203.1926282,2.204585538,-22.58243561
341459814,Inh_12,,,,,,
348592897,Exc_3,Spiny_3,ME_Exc_13,159.6147419,449.8484809,1.850290363,15.12178626
349593629,Exc_3,,,,,,
349621141,Exc_3,Spiny_7,ME_Exc_17,191.6454791,473.8585121,3.371420614,-1.426315901
354190013,Exc_3,Spiny_12,ME_Exc_13,305.2853078,597.2054017,2.11135147,13.95104766
354833767,Exc_1,Spiny_5,ME_Exc_20,229.0222385,387.9876749,2.104591837,23.69126059
356237593,Exc_3,,,,,,
367567889,Exc_3,,,,,,
369697038,Exc_3,,,,,,
370351753,Exc_3,Spiny_5,ME_Exc_18,153.7755807,448.9162282,2.926356412,12.15509678
370694659,Exc_3,,,,,,
382982932,Exc_3,Spiny_7,ME_Exc_14,161.911709,386.2714578,2.329701527,21.80140949
385492488,Exc_3,,,,,,
386049446,Exc_3,Spiny_3,ME_Exc_17,167.4521071,348.2007274,3.484163913,8.118757933
386970660,Exc_3,Spiny_5,ME_Exc_18,208.3309509,455.733281,3.968253968,3.795433057
388874977,Inh_7,,,,,,
395785266,Exc_3,,,,,,
395830185,Exc_3,Spiny_4,ME_Exc_17,208.950733,372.9703798,2.535496957,33.56462322
395851985,Exc_3,,,,,,
396274594,Inh_12,,,,,,
396369826,Inh_13,,,,,,
396608557,Inh_8,Aspiny_10,ME_Inh_9,158.9484403,649.7063975,2.28046704,-13.05124544
396650742,Inh_12,,,,,,
396652279,Inh_13,,,,,,
396687610,Inh_12,,,,,,
396903166,Exc_3,,,,,,
396903227,Exc_3,,,,,,
396939115,Inh_5,,,,,,
396963717,Inh_9,,,,,,
396968721,Inh_6,,,,,,
397129612,Inh_8,,,,,,
397220859,Inh_9,,,,,,
397243949,Inh_9,,,,,,
397248752,Inh_1,,,,,,
397345294,Exc_3,,,,,,
397348126,Exc_3,,,,,,
397351623,Exc_3,Spiny_5,ME_Exc_18,157.3022285,468.4762246,2.813592118,17.31851354
397353539,Exc_3,Spiny_4,ME_Exc_16,207.4183764,322.8928264,2.538852131,5.657058576
397354239,Exc_3,,,,,,
422055317,Exc_3,,,,,,
422738880,Exc_3,Spiny_5,ME_Exc_18,208.0344796,425.2448851,1.828741972,8.382383795
439024551,Inh_1,,,,,,
439372920,Inh_1,,,,,,
441000782,Inh_1,,,,,,
442627661,Inh_1,,,,,,
464079491,Exc_3,,,,,,
464188580,Inh_1,,,,,,
464191630,Inh_3,,,,,,
464198958,Inh_3,,,,,,
464212183,Inh_6,,,,,,
464290292,Inh_11,,,,,,
464326158,Exc_3,,,,,,
464368713,Inh_12,,,,,,
465924786,Exc_3,,,,,,
466114829,Inh_9,,,,,,
466245544,Inh_8,Aspiny_19,ME_Inh_9,213.5740166,981.2510119,2.534874973,-12.46366938
466271455,Inh_3,,,,,,
466378900,Exc_3,,,,,,
466431949,Exc_3,,,,,,
466632464,Exc_3,Spiny_18,ME_Exc_2,348.4766443,884.5157735,3.018472187,18.68438869
