,dropout,weight_decay,lr,hidden_size,hidden_depth,nonlinearity,run_id,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,total_loss_mean,total_loss_std,train_r2_0_mean,train_r2_0_std,train_r2_1_mean,train_r2_1_std,train_r2_2_mean,train_r2_2_std,train_r2_3_mean,train_r2_3_std,train_r2_4_mean,train_r2_4_std,val_r2_0_mean,val_r2_0_std,val_r2_1_mean,val_r2_1_std,val_r2_2_mean,val_r2_2_std,val_r2_3_mean,val_r2_3_std,val_r2_4_mean,val_r2_4_std,best_idx
23,0.34826828231287804,1.15422166066985e-05,0.00012310815138078703,32,2,relu,23,0.25746397376060487,0.0832344845042118,0.44308302700519564,0.17534564903406627,0.25746397376060487,0.0832344845042118,0.5651908056929299,0.09046115051256462,0.7478558586886298,0.01691279342675659,0.6057565395839054,0.07339016086786265,0.6618241377308133,0.08399876513133306,0.6417625402444125,0.06390325532729568,0.4021643634251225,0.15815426067206684,0.7718266252926118,0.09369419292719601,0.3980579989109706,0.2415623546420049,0.6445631160305779,0.1323404177225524,0.5424068861898155,0.18987251260924654,4
24,0.1390209758827227,1.7922801212624447e-06,3.871983009595026e-05,8,2,relu,24,0.6043694496154786,0.10787584227762338,0.669609797000885,0.14693333367736336,0.6043694496154786,0.10787584227762338,0.20442838453716733,0.11507908538919927,0.6497251685878942,0.03317032570534826,0.21147151093944885,0.09596739110411169,0.34069203861437947,0.08012708576152476,0.27067795678799483,0.14335707254621796,0.15124577912471657,0.09440493582698731,0.6842292624218784,0.10247891545396393,0.18384928097633735,0.1261781604696838,0.38777672299748434,0.07662168308221004,0.22164029994708775,0.18545932474334229,4
25,0.4251288900120018,0.0003230716669131597,5.409721166108206e-05,16,1,relu,25,0.47121965885162354,0.08227333607179958,0.5775910377502441,0.12509628906164952,0.47121965885162354,0.08227333607179958,0.3247632990924079,0.06700560777724444,0.6551759546958124,0.04037375011840472,0.3763011871290622,0.08614323559945002,0.43492232220635313,0.13117660243564855,0.4163068409043782,0.06332644660555165,0.23999547926004355,0.06344335982399375,0.7216395108594822,0.07039993810571321,0.29502120271209276,0.13225940261729455,0.45381640923866107,0.08823923090105067,0.3951365648473083,0.12483758008169558,4
26,0.20834011075933173,0.018167522020235024,3.367099228705453e-05,32,1,relu,26,0.45730213522911073,0.07781296460837613,0.6075325727462768,0.1124140025360363,0.45730213522911073,0.07781296460837613,0.4330773061245214,0.10856595738801103,0.7947134983525879,0.014406597617643083,0.43842172608491803,0.11102136454992327,0.5699386475675124,0.09400133592120433,0.5147418080000177,0.08705150410487127,0.20617615922889493,0.054723802847031135,0.7449359608548789,0.0655983975852565,0.253621310636455,0.1285347218931602,0.4129426646303826,0.060928093949744716,0.31888062593504396,0.07585942931521225,4
27,0.38368350983923416,0.0014357438655129783,0.0006232317822719532,16,2,relu,27,0.37007837891578677,0.03566958615951793,0.591239333152771,0.12865777957266103,0.37007837891578677,0.03566958615951793,0.4507387418237907,0.08278593012665789,0.588432629550591,0.047135292906767136,0.46185213610752196,0.051173772688026566,0.5402241488451043,0.04085777557680109,0.4580284425599988,0.031652665360038704,0.21670441256129713,0.08199374850370038,0.6505917713598485,0.06169462390496088,0.2479283871408756,0.16092886254815714,0.5382169798825653,0.10646970432239465,0.36958149023140896,0.13966941593840104,4
28,0.2406794049351766,0.02492958472199336,3.38026297870985e-05,8,2,relu,28,0.7358115196228028,0.0661878691625131,0.7767635822296143,0.11889806755880357,0.7358115196228028,0.0661878691625131,0.09005016027019386,0.05086960935022129,0.5650657708742625,0.04649899020394597,0.06752953366890682,0.043457385522140374,0.24684544935837902,0.07396743160672858,0.16681228822694513,0.1109369741933894,0.04449949578724188,0.04935288216354318,0.6240949260309765,0.1211225305218568,0.05727251907626805,0.0473548751905747,0.20228968195557906,0.061181283423706385,0.1497172503612446,0.15300858754378652,4
29,0.5837516934138781,1.5697363299209547e-06,4.366834684959499e-05,64,1,relu,29,0.3543055236339569,0.09409478645401802,0.485653018951416,0.14409926010738003,0.3543055236339569,0.09409478645401802,0.47042937322418155,0.10910291437004414,0.738333284812164,0.01434260725704796,0.49520400094994627,0.07640442401081587,0.5722063899981202,0.11745567965761987,0.5338154187757436,0.07483972692856519,0.344896444584262,0.10796638275492967,0.7713054498950848,0.07312638727260505,0.4099337825448095,0.19418042136491642,0.5532594493012531,0.11393106826562298,0.47870003788913407,0.12293245193972503,4
30,0.18109852555650993,1.3301515126516147e-05,4.080192044524064e-05,64,2,sigmoid,30,0.5597267746925354,0.11591513485603873,0.6347514271736145,0.13906489700889405,0.5597267746925354,0.11591513485603873,0.30221001031679917,0.11256534739366036,0.729671635692727,0.04647107126737258,0.2656803871738654,0.11760501386862968,0.41334994320546325,0.1629955375005621,0.36200764251132245,0.1312723763498819,0.19095949698598863,0.06397917455885832,0.7338747648992865,0.09120659801420256,0.20515801439065723,0.1524229169896918,0.3863701184128963,0.09126174140503293,0.2985633051003812,0.13125396865692193,4
31,0.43535661852634727,0.08767236194784722,6.984396358657651e-05,8,2,sigmoid,31,1.0009483814239502,0.0013276530263396733,1.0055389404296875,0.0736163032524319,1.0009483814239502,0.0013276530263396733,-0.005074885861319234,0.008040796499600558,0.0005156562392954589,0.00999522757782685,-0.008916003601867195,0.011869383320258687,-0.010713903699252602,0.009112993119365581,-0.002335769780285446,0.006210132114353698,-0.012583969188256505,0.01870355232548814,0.0003571780040085848,0.0010328155716688556,-0.006668792838360904,0.004229618421466343,-0.025209898351608827,0.03089365365735052,-0.03148237871034225,0.03365897404630113,3
32,0.15037363211633126,4.1014824034375014e-05,6.08644725956887e-05,8,1,relu,32,0.46655928492546084,0.08830778813564413,0.5909639000892639,0.1280582096890444,0.46655928492546084,0.08830778813564413,0.39949721856039205,0.07640436571449322,0.7442268310353087,0.026982622083105992,0.4272118011342207,0.08640147515238573,0.5342793324553774,0.11447674174891266,0.4457997958525852,0.10622984076616944,0.20829850813943365,0.06390752607014559,0.7386196249784404,0.06773592662947937,0.2751540168735637,0.14891580009932612,0.4469601495036411,0.12795345803952396,0.35311775378670335,0.12096185881697918,4
