,El_reference,C,asc_amp_array_0,asc_amp_array_1,init_threshold,spike_cut_length,asc_tau_array_0,asc_tau_array_1,R_input,coeffs_th_inf,has_model
0,-0.07296614504192328,6.513279989654455e-11,-3.239241562218191e-11,-3.7011294820334446e-11,0.02962802684652536,33,0.3333333333333333,0.01,205694837.89879838,0.9541691536024124,True
1,-0.0721156885712706,6.889076753953901e-11,-2.083048695522839e-11,5.159759148702199e-11,0.02736626937627487,50,0.3333333333333333,0.01,232668136.36680937,0.9921535385421582,False
2,-0.0720160465356083,6.468244499372127e-11,-2.4145667074149027e-12,9.46934215602997e-11,0.02730243882398949,48,0.3333333333333333,0.01,249301697.6366483,1.0198713471932175,False
3,-0.07192580069608978,5.653497595904843e-11,-8.439669543894932e-12,-6.297700380034488e-11,0.0270303273956536,65,0.3333333333333333,0.01,260089499.70400217,1.0378280819366104,False
4,-0.07164955765474001,8.193779942128904e-11,-3.557825177159425e-11,9.889176164898229e-12,0.027101952448276304,46,0.3333333333333333,0.01,218336674.79789305,1.1229406664093058,False
5,-0.07289736098403213,8.58481556401717e-11,-1.277041333329899e-10,4.1253826267451424e-10,0.02905130384395322,44,0.3333333333333333,0.01,199860795.1149913,1.123859303027428,True
6,-0.07274056176461374,7.918020083278947e-11,-1.168480117187501e-10,3.137579216529488e-10,0.02933786356446515,38,0.3333333333333333,0.01,196975759.32295358,1.0472653046636078,True
7,-0.07295855281675048,5.363022264271375e-11,-1.0548955038349375e-11,-5.930470998121568e-11,0.029313844790093482,54,0.3333333333333333,0.01,266020858.4862354,0.8671540936960349,True
8,-0.07327066821608189,7.551438458192524e-11,-3.609162388865919e-11,-1.621400150017111e-10,0.030117827323077523,40,0.3333333333333333,0.01,137776868.77666867,0.9049103654917086,False
9,-0.07199109442744778,7.112939650565153e-11,-2.2612018367631746e-11,1.2765332761878102e-10,0.027923488479843904,31,0.3333333333333333,0.01,196181951.9652065,1.0376744116190142,False
10,-0.07331015805443727,7.535989458895301e-11,-1.0466544495470588e-11,-4.5798894322074314e-11,0.029964174335718297,39,0.3333333333333333,0.01,154130836.28376722,0.9471024156131874,True
11,-0.07209254092512626,7.139970983767646e-11,-3.158934448573057e-11,1.0512450842373088e-10,0.027111418348850422,38,0.3333333333333333,0.01,232847391.83501777,1.1098110371144436,False
12,-0.07167728103279053,6.026053043610345e-11,-1.903041885361684e-11,1.0793307182277531e-11,0.02718622931865589,49,0.3333333333333333,0.01,236643677.45766294,1.0065718083172708,False
13,-0.07291135479733497,7.522083275490224e-11,-4.237593292476999e-11,-4.099094878886766e-12,0.029545308236479564,36,0.3333333333333333,0.01,149118649.95365795,0.9717170181345247,False
14,-0.07258582509271956,6.445986214268345e-11,-2.9065266326245275e-11,-5.86549349116352e-11,0.028661980123884358,50,0.3333333333333333,0.01,183242726.7731549,1.016098899602441,False
15,-0.07120935925875581,7.173692661615924e-11,-1.9195977708591748e-11,7.558894642635222e-11,0.027252018307313657,28,0.3333333333333333,0.01,214774702.8413483,1.105739656452301,False
16,-0.07163031871849584,5.843993305505258e-11,-9.828128142805655e-12,9.88324154310642e-12,0.027309786965913834,40,0.3333333333333333,0.01,235346035.42858374,1.0218945424824515,True
17,-0.0724928528792355,9.292572031536844e-11,-1.3987412750105676e-10,2.6675777727835943e-10,0.028386683199013715,52,0.3333333333333333,0.01,188303100.4576968,1.1109110718265187,False
18,-0.07152181240766134,8.147232025000005e-11,-8.690838671589744e-11,3.498790495554228e-10,0.025708346142967405,50,0.01,0.01,260889976.1819611,1.1122542128226647,False
