,index,El_reference,C,init_threshold,spike_cut_length,R_input
84,561325425,-0.0749067,6.120966e-11,0.032214887,54.0,266436400.0
85,561517025,-0.07310497,8.732431e-11,0.030314993,40.0,108741500.0
86,561532710,-0.071815625,7.85167e-11,0.028785875,70.0,215643780.0
87,561934585,-0.0664484,1.0240782e-10,0.029496394,87.0,225596510.0
88,561940338,-0.070959345,1.0636123e-10,0.02534893,100.0,408295300.0
89,561985849,-0.06764086,7.389085e-11,0.031895634,110.0,67206536.0
90,562003142,-0.06451772,4.611702e-11,0.029977046,107.0,383149950.0
91,562632795,-0.07238694,7.774715e-11,0.028526576,71.0,183562300.0
92,564346637,-0.06503834,8.1024853e-11,0.026726784,49.0,346404740.0
93,564349611,-0.06160722,5.9031724e-11,0.023002578,83.0,264138720.0
94,565120091,-0.073430635,9.026088e-11,0.029064698,84.0,264584960.0
95,565209132,-0.067017384,6.325622e-11,0.0247186,84.0,250279520.0
96,565407476,-0.0656774,6.22589e-11,0.020315472,59.0,462713060.0
97,565415071,-0.072532296,6.164163e-11,0.03322906,41.0,193471120.0
98,565417112,-0.071217,4.3837784e-11,0.029206479,53.0,242872300.0
99,565459685,-0.08002653,9.96387e-11,0.022859136,98.0,740776960.0
100,565462089,-0.07420052,8.591704e-11,0.028103156,48.0,175411470.0
101,565855793,-0.07250205,7.902287e-11,0.030948624,64.0,233776600.0
102,565866518,-0.07203848,6.534179e-11,0.02521951,37.0,122394120.0
103,565880475,-0.07321369,5.5212855e-11,0.028130699,86.0,293708500.0
104,565888394,-0.075148866,9.937811e-11,0.029743373,70.0,242769490.0
105,566541912,-0.070076294,7.083213e-11,0.028400162,80.0,483233180.0
106,566647353,-0.075739555,8.2370846e-11,0.027504483,59.0,195072220.0
107,566671538,-0.06996599,7.025517e-11,0.030239616,63.0,219289660.0
108,566678900,-0.07113606,7.5025264e-11,0.030258983,61.0,246121230.0
109,566761793,-0.070156984,5.886835e-11,0.027404442,53.0,654272260.0
110,567007144,-0.06974143,4.7647317e-11,0.029784268,81.0,417822300.0
111,567029686,-0.06540879,7.495275e-11,0.027670093,68.0,221046660.0
112,567312865,-0.06972862,1.03141946e-10,0.02902208,74.0,162699170.0
113,567320213,-0.067717664,8.956855e-11,0.02573391,68.0,295083680.0
114,567354967,-0.07053622,8.2728414e-11,0.025813617,72.0,315311260.0
115,567927838,-0.073917404,4.7707883e-11,0.034267973,29.0,181510620.0
116,567952169,-0.07483446,1.2167053e-10,0.021741344,66.0,121475944.0
117,569072334,-0.070110135,5.4957854e-11,0.02719691,51.0,340308400.0
118,569494755,-0.06574698,6.572803e-11,0.022308456,57.0,265409330.0
119,569670455,-0.061399177,1.0689836e-10,0.022362556,57.0,247277840.0
120,569723367,-0.07152706,9.556844e-11,0.026939187,72.0,179810450.0
121,569723405,-0.073530816,8.2524015e-11,0.028261585,59.0,150810320.0
122,569809287,-0.07003984,5.649072e-11,0.02995944,71.0,474915400.0
123,569810649,-0.06340925,8.322743e-11,0.019466719,68.0,340437600.0
124,569958754,-0.059408262,8.4389544e-11,0.022255976,76.0,389681340.0
125,569965244,-0.068140805,8.587902e-11,0.027135061,65.0,243264060.0
126,569998790,-0.072104126,8.830548e-11,0.029082866,73.0,207878400.0
127,570438732,-0.07477155,5.2960022e-11,0.035472248,70.0,418396500.0
128,570896413,-0.06953266,6.925309e-11,0.029735869,68.0,358775680.0
129,570896453,-0.06889067,9.733187e-11,0.026516749,124.0,342504200.0
130,570946690,-0.074378364,6.2573786e-11,0.02967131,60.0,229770190.0
131,571311039,-0.07417662,5.635501e-11,0.02370835,54.0,147260620.0
132,571379222,-0.06644384,4.867817e-11,0.018635372,6.0,92438520.0
133,571396942,-0.07758701,5.5891073e-11,0.025839718,30.0,145681900.0
134,571867358,-0.07548013,8.3527844e-11,0.03266424,64.0,125179576.0
135,572609108,-0.0749432,4.7028655e-11,0.027491033,57.0,341538700.0
136,573404307,-0.06731468,8.163901e-11,0.029898373,37.0,157197650.0
137,573622646,-0.06984145,6.9268286e-11,0.03281669,40.0,160972750.0
138,574036994,-0.063424096,1.0082417e-10,0.0277979,64.0,502163900.0
139,574038330,-0.06455304,1.135345e-10,0.025198258,45.0,315011900.0
140,574059157,-0.07511655,5.5201482e-11,0.022134038,22.0,90813970.0
141,574067499,-0.07325356,7.235078e-11,0.026392134,55.0,207084160.0
142,574377552,-0.07265732,9.116596e-11,0.02908216,67.0,207028480.0
143,574734127,-0.07337858,7.741494e-11,0.031305,72.0,200351020.0
144,574992320,-0.075732835,7.7348086e-11,0.022830795,41.0,131106264.0
145,574993444,-0.048975933,5.479175e-11,0.017083924,196.0,354837340.0
146,575642695,-0.06188094,9.876907e-11,0.021263218,65.0,380545500.0
147,575774870,-0.06888968,5.0777226e-11,0.036289703,92.0,284249400.0
148,577218602,-0.070272796,6.211882e-11,0.03353908,76.0,220009810.0
149,577369606,-0.07200474,8.229641e-11,0.030170627,62.0,212968900.0
150,578485753,-0.06915224,6.596264e-11,0.029403513,81.0,199257300.0
151,578774163,-0.07357537,5.5290945e-11,0.033796176,101.0,352843700.0
152,579626068,-0.0706376,7.3148355e-11,0.030291164,58.0,180214580.0
153,579662957,-0.067445435,6.709283e-11,0.028223626,62.0,330580800.0
154,580014328,-0.06855561,9.310157e-11,0.024497908,30.0,74744430.0
155,580145037,-0.07279771,6.4068924e-11,0.02813447,61.0,225793680.0
156,580161872,-0.07186185,7.668002e-11,0.026750918,68.0,307473540.0
157,580162374,-0.067814134,9.086684e-11,0.02787267,70.0,185152400.0
158,582613001,-0.058969047,4.1119868e-11,0.028574683,116.0,327587400.0
159,582644266,-0.069719,3.539106e-11,0.031543273,90.0,463287040.0
160,582917630,-0.07200915,9.282513e-11,0.03053308,80.0,211946500.0
161,583104750,-0.0558525,5.359994e-11,0.025051402,77.0,418207400.0
162,583138230,-0.072711,6.594464e-11,0.032348864,83.0,222819000.0
163,583138568,-0.06860972,4.1326574e-11,0.0339629,96.0,224133550.0
164,583146274,-0.069405,6.509188e-11,0.029984735,100.0,379474270.0
165,583434059,-0.07093746,9.201146e-11,0.029491724,68.0,183275460.0
166,584231995,-0.06768952,9.253929e-11,0.026436891,125.0,588261570.0
167,584872371,-0.07548623,4.528451e-11,0.02979324,87.0,1076987800.0
168,585805211,-0.07071697,6.444395e-11,0.024506392,46.0,164515000.0
169,585830272,-0.07298362,7.5354396e-11,0.030066546,67.0,184882080.0
170,585832440,-0.07666316,6.817253e-11,0.023095261,48.0,195303440.0
171,585841870,-0.07288537,6.830672e-11,0.0253468,50.0,216956130.0
172,585925172,-0.0712732,7.8070495e-11,0.028700506,72.0,262997550.0
173,585944237,-0.07289935,6.76264e-11,0.03196306,83.0,198939420.0
174,585946742,-0.06576872,6.366729e-11,0.02201704,77.0,892023550.0
175,585947309,-0.072742715,5.0181727e-11,0.02722959,35.0,180498720.0
176,585951863,-0.07164546,4.924267e-11,0.024517305,40.0,287390000.0
177,585952606,-0.07234308,6.2690145e-11,0.026829183,54.0,258553470.0
178,586071425,-0.06823106,5.2797943e-11,0.033430256,67.0,331609500.0
179,586072188,-0.06384146,4.8106092e-11,0.026266284,85.0,378431970.0
180,586072464,-0.07477374,7.2802465e-11,0.033643935,84.0,211531330.0
181,586072783,-0.07165387,5.1661817e-11,0.03501401,84.0,239698260.0
182,586073683,-0.073491335,9.341766e-11,0.030268732,63.0,205072080.0
