,El_reference,C,asc_amp_array_0,asc_amp_array_1,init_threshold,spike_cut_length,asc_tau_array_0,asc_tau_array_1,R_input,coeffs_th_inf,has_model
0,-0.07377509663303367,5.178718060909831e-11,-3.839929840010575e-11,5.584176921855163e-11,0.03243445715683239,34,0.3333333333333333,0.01,274551889.74559057,1.0238153352002637,True
1,-0.0734467068979305,5.235600155808479e-11,-5.112045052538303e-11,1.0278389421685276e-10,0.03151685726503973,32,0.3333333333333333,0.01,234225502.595723,0.8950052210726889,False
2,-0.07054521929903025,7.749145828318219e-11,-6.600798170911153e-11,1.7534644636303695e-10,0.025605307257540646,40,0.01,0.01,263180680.10524637,1.0014703740875068,False
3,-0.06988926789136138,6.881097912447344e-11,-8.06085071617605e-11,3.187498645604696e-10,0.026602683230563418,50,0.01,0.01,275520126.493596,1.1206606372733225,False
4,-0.06878087564030587,9.736771796730968e-11,-8.508190507472146e-11,2.1621062120707328e-10,0.02472115884689321,42,0.01,0.01,288476527.7000013,1.166827193019383,False
5,-0.07063559785061357,8.022233887817263e-11,-6.608535322533112e-11,2.2870745287885115e-10,0.02660450334753607,48,0.01,0.01,261036056.16139156,1.1011409752150019,True
6,-0.07179963474250609,7.90956098146261e-11,-5.906551077173223e-11,1.2769979139523147e-10,0.02797399598209719,37,0.01,0.01,236388022.26693025,1.0976608744062966,True
7,-0.0714656194456353,6.313514397045931e-11,-3.7727778689770525e-11,7.546854615428045e-12,0.02854429319223607,62,0.3333333333333333,0.01,305251248.8524508,1.0012112560459843,True
8,-0.07322437562520133,7.063090936606216e-11,-4.3333777149692836e-11,-3.8689326244685385e-12,0.028608041414702513,32,0.3333333333333333,0.01,211704939.70519707,0.946334050205825,False
9,-0.0711402807432744,8.15871265097902e-11,-5.968903072057408e-11,1.2122876700401668e-10,0.026124593453514474,39,0.01,0.01,246434007.02794456,1.0107574665928283,False
10,-0.07362211661459551,7.336846722405881e-11,-3.911016991984333e-11,-4.004136412742893e-11,0.0289551339836518,31,0.3333333333333333,0.01,200511409.38449603,0.9525415728026787,True
