,index,El_reference,C,init_threshold,spike_cut_length,R_input
0,313862167,-0.07491625,5.855089e-11,0.030569702,20.0,290024930.0
1,313862373,-0.07809815,4.7693058e-11,0.02934272,62.0,208265340.0
2,321708130,-0.07266066,8.9112724e-11,0.029445995,70.0,209874380.0
3,323452196,-0.068607494,4.912588e-11,0.022021823,49.0,663497700.0
4,323475862,-0.0710213,5.177921e-11,0.034189165,20.0,310522270.0
5,324266189,-0.06790429,8.217234e-11,0.029962135,36.0,345794100.0
6,324493977,-0.07283484,8.893715e-11,0.031530943,56.0,205238770.0
7,327962063,-0.072716534,4.5604697e-11,0.023348812,53.0,669569500.0
8,333604946,-0.073476724,6.954338e-11,0.030719653,48.0,229605020.0
9,333785962,-0.072584264,7.043967e-11,0.02438515,39.0,149886930.0
10,341442651,-0.07345026,6.197148e-11,0.026042106,16.0,109042056.0
11,396608557,-0.066990204,4.5150307e-11,0.027633172,29.0,200503550.0
12,466245544,-0.07366004,5.9134954e-11,0.025024826,34.0,176932300.0
13,469992918,-0.07817786,8.1942425e-11,0.028471546,46.0,123389850.0
14,471077468,-0.072361864,6.111482e-11,0.02348295,31.0,147545140.0
15,471077857,-0.07099714,4.992282e-11,0.030572494,41.0,204233620.0
16,471087830,-0.077328086,6.3167846e-11,0.02933542,41.0,186201730.0
17,473540161,-0.06965307,6.0465986e-11,0.030677905,49.0,232334560.0
18,473543792,-0.06433549,5.5759574e-11,0.017565528,73.0,404297380.0
19,473564515,-0.06994904,6.6115925e-11,0.030404642,54.0,197749630.0
20,473943881,-0.072560385,9.130326e-11,0.02888173,72.0,197711550.0
21,474626527,-0.06485799,4.522538e-11,0.026856743,72.0,590628160.0
22,475057898,-0.07188657,1.2005914e-10,0.029124789,42.0,302973470.0
23,475068599,-0.063802905,6.263385e-11,0.021610135,52.0,144124780.0
24,475202388,-0.06788635,5.5349822e-11,0.030787837,52.0,558086340.0
25,475549284,-0.07871008,9.739111e-11,0.029604994,43.0,163916450.0
26,475585413,-0.06071622,4.0416396e-11,0.024355896,72.0,237495170.0
27,475623964,-0.07157351,7.252071e-11,0.029854799,74.0,240866450.0
28,476686112,-0.06667715,7.919246e-11,0.02884801,50.0,360702370.0
29,477880128,-0.06885028,5.089804e-11,0.027821114,18.0,192769060.0
30,478058328,-0.07176674,4.33093e-11,0.021828167,17.0,160511950.0
31,478110866,-0.07322216,5.868069e-11,0.02900679,59.0,361948380.0
32,479905853,-0.06909639,6.338763e-11,0.026892837,53.0,238527500.0
33,481093525,-0.070446424,5.466398e-11,0.031258117,25.0,163468400.0
34,481136138,-0.06982766,1.2113077e-10,0.024305897,84.0,304231780.0
35,482516713,-0.07055036,5.2611467e-11,0.023577219,27.0,176114140.0
36,485184849,-0.07978231,8.9725e-11,0.029250233,24.0,88433890.0
37,486896849,-0.07964574,7.4063984e-11,0.02832609,15.0,110044940.0
38,487099387,-0.06458942,2.3502391e-11,0.015078156,69.0,1314912600.0
39,488501071,-0.07460594,8.5888525e-11,0.022072595,47.0,118728740.0
40,488504814,-0.07348994,7.3787476e-11,0.028058605,52.0,167965950.0
41,488677994,-0.07344983,8.501897e-11,0.030331036,44.0,144030800.0
42,490382353,-0.07678846,1.1861108e-10,0.035124037,58.0,126785180.0
43,490387590,-0.068960495,5.120301e-11,0.036012404,-21.0,91863250.0
44,509515969,-0.074373074,6.660767e-11,0.023228223,30.0,160371790.0
45,509617624,-0.072375804,5.820938e-11,0.026945647,38.0,203438940.0
46,510715606,-0.077080965,9.1648376e-11,0.028551819,64.0,229301740.0
47,514767977,-0.07531967,5.4057436e-11,0.027250988,54.0,424696000.0
48,514824979,-0.075931706,5.3702574e-11,0.030732896,52.0,610662400.0
49,515315072,-0.071603514,8.99795e-11,0.025240105,73.0,220539630.0
50,516362762,-0.061515555,7.576311e-11,0.026822442,77.0,256582990.0
51,517345160,-0.06817402,1.2747534e-10,0.027193056,70.0,490625800.0
52,519749342,-0.07103461,1.4466464e-10,0.031244611,62.0,342477400.0
53,523748610,-0.067334495,5.5366395e-11,0.031625982,91.0,188708800.0
54,524689239,-0.07247091,6.009897e-11,0.033926114,68.0,219361180.0
55,526531616,-0.07211395,6.818488e-11,0.029200986,82.0,241209870.0
56,527095729,-0.07216725,6.733847e-11,0.026107509,79.0,154203630.0
57,527869035,-0.06577261,1.0167156e-10,0.021801915,105.0,154158620.0
58,530731648,-0.060573094,7.004043e-11,0.02557607,84.0,258517470.0
59,530737765,-0.07153782,8.3196484e-11,0.028688204,70.0,241018110.0
60,534141324,-0.07398386,1.0233869e-10,0.033852942,69.0,197245980.0
61,534303031,-0.0631235,1.1844695e-10,0.028613912,-38.0,188214880.0
62,535708196,-0.07142406,6.550439e-11,0.021855867,47.0,245139730.0
63,535728342,-0.07665542,3.9423263e-11,0.020827083,81.0,799247900.0
64,536306115,-0.07796705,8.457469e-11,0.03410453,77.0,121705750.0
65,536951541,-0.070750475,6.640129e-11,0.026965713,76.0,175137340.0
66,539014038,-0.075948596,1.192385e-10,0.029061414,63.0,161873650.0
67,547262585,-0.07065214,7.052772e-11,0.03141795,53.0,444466000.0
68,547325858,-0.06924598,1.0959567e-10,0.029597282,57.0,225835890.0
69,547344442,-0.065545686,9.4246645e-11,0.023947263,69.0,230684430.0
70,554779051,-0.068642065,6.8720446e-11,0.027342979,53.0,330642600.0
71,554807924,-0.07042081,5.7216492e-11,0.028343773,46.0,226313230.0
72,555001065,-0.060509387,9.501193e-11,0.01900662,50.0,257052750.0
