,index,El_reference,C,init_threshold,spike_cut_length,R_input
0,313862167,-0.08116647,5.97954e-11,0.029699463,30.0,279230940.0
1,313862373,-0.07180398,5.1674033e-11,0.030042168,85.0,193813140.0
2,321708130,-0.072188795,9.972254e-11,0.028561354,63.0,204303740.0
3,323452196,-0.06877089,4.7409986e-11,0.01915547,36.0,629086340.0
4,323475862,-0.070949525,6.534154e-11,0.03025412,35.0,256972850.0
5,324266189,-0.070193626,7.605631e-11,0.028086044,55.0,289972380.0
6,324493977,-0.07322643,7.231215e-11,0.032179452,47.0,251497400.0
7,327962063,-0.06987108,3.74255e-11,0.025067117,47.0,720808100.0
8,333604946,-0.07452321,6.300769e-11,0.0344359,40.0,187546540.0
9,333785962,-0.066887185,6.0785245e-11,0.023904007,34.0,191501800.0
10,341442651,-0.079345584,7.379846e-11,0.025000267,38.0,103293096.0
11,396608557,-0.072946526,6.836329e-11,0.030078404,59.0,275844160.0
12,466245544,-0.07054365,4.7649322e-11,0.023201538,24.0,142236100.0
13,469992918,-0.083339,8.2196173e-11,0.026552012,33.0,101027030.0
14,471077468,-0.07391529,5.1858767e-11,0.025527721,9.0,155216370.0
15,471077857,-0.07128993,8.145671e-11,0.02854224,62.0,205237620.0
16,471087830,-0.07282388,6.542048e-11,0.027265929,37.0,156023420.0
17,473540161,-0.06924334,6.2541444e-11,0.034473438,15.0,307115420.0
18,473543792,-0.06071195,4.4979777e-11,0.01777477,39.0,671791500.0
19,473564515,-0.073089525,7.5907905e-11,0.02993191,53.0,187912500.0
20,473943881,-0.070523426,7.722971e-11,0.02786623,54.0,172167730.0
21,474626527,-0.059000082,3.310925e-11,0.021656692,54.0,720035900.0
22,475057898,-0.07067745,1.0828517e-10,0.029547665,51.0,273766940.0
23,475068599,-0.06456807,6.6577695e-11,0.022897461,53.0,147325810.0
24,475202388,-0.07441801,4.1055524e-11,0.038560234,28.0,689389100.0
25,475549284,-0.0779412,9.162565e-11,0.029944956,51.0,202585920.0
26,475585413,-0.06408368,3.8503267e-11,0.02463797,81.0,348365950.0
27,475623964,-0.0704634,4.6164808e-11,0.02999559,77.0,369437920.0
28,476686112,-0.07062287,9.063023e-11,0.02834764,57.0,275332200.0
29,477880128,-0.06940499,5.134041e-11,0.028676106,29.0,210125520.0
30,478058328,-0.071300685,5.7407357e-11,0.023945445,40.0,164770940.0
31,478110866,-0.07365207,5.859569e-11,0.028885923,84.0,862120260.0
32,479905853,-0.06586957,6.029898e-11,0.02292372,60.0,254594980.0
33,481093525,-0.069004804,5.3649748e-11,0.028380156,34.0,173258130.0
34,481136138,-0.06566855,9.284957e-11,0.022598498,62.0,486732540.0
35,482516713,-0.069665976,5.2445756e-11,0.027882569,15.0,328224740.0
36,485184849,-0.07124231,6.533568e-11,0.028340995,33.0,184785140.0
37,486896849,-0.07937794,6.9598174e-11,0.027134657,11.0,77074870.0
38,487099387,-0.054159384,3.0432577e-11,0.005402955,76.0,2919515400.0
39,488501071,-0.08233506,7.965997e-11,0.024922635,35.0,92477330.0
40,488504814,-0.07329212,7.5783345e-11,0.030209938,55.0,129394344.0
41,488677994,-0.07410736,9.1534294e-11,0.031413354,40.0,194517170.0
42,490382353,-0.07320831,8.203423e-11,0.030551454,32.0,110397290.0
43,490387590,-0.07091527,4.5393207e-11,0.037851416,-22.0,111061300.0
44,509515969,-0.07385047,3.3590516e-11,0.024505267,-21.0,122480060.0
45,509617624,-0.073702864,6.6351535e-11,0.02850117,50.0,227439220.0
46,510715606,-0.06965515,4.584777e-11,0.028194949,18.0,152059550.0
47,514767977,-0.07992982,5.436193e-11,0.029686853,73.0,473813380.0
48,514824979,-0.07291421,5.143234e-11,0.028897962,65.0,405687800.0
49,515315072,-0.076000415,7.034192e-11,0.02192904,52.0,440950800.0
50,516362762,-0.06083071,7.709916e-11,0.026709827,89.0,315436960.0
51,517345160,-0.051602002,9.47338e-11,0.02079437,93.0,1581133700.0
52,519749342,-0.073485054,1.0937036e-10,0.033556562,69.0,182662980.0
53,523748610,-0.067019485,6.0307724e-11,0.03015845,83.0,168764930.0
54,524689239,-0.0687617,7.548429e-11,0.028281635,72.0,227503410.0
55,526531616,-0.07181035,5.5756493e-11,0.028719094,82.0,239630130.0
56,527095729,-0.07648768,6.272195e-11,0.029862653,75.0,127705260.0
57,527869035,-0.067764,7.82585e-11,0.027794043,85.0,209445700.0
58,530731648,-0.070547186,6.601827e-11,0.031125007,89.0,169763800.0
59,530737765,-0.06987495,8.996698e-11,0.033822674,62.0,292528320.0
60,534141324,-0.07160573,1.0079744e-10,0.030940231,58.0,160004240.0
61,534303031,-0.06910418,6.2390614e-11,0.036146674,-1.0,168970430.0
62,535708196,-0.071064234,6.586659e-11,0.023428531,54.0,287737180.0
63,535728342,-0.072881505,7.202281e-11,0.015775805,108.0,507196380.0
64,536306115,-0.07924787,8.9521585e-11,0.034536637,63.0,148040980.0
65,536951541,-0.07176517,6.3022594e-11,0.02739218,55.0,140629660.0
66,539014038,-0.07328239,8.363561e-11,0.027735418,53.0,143760200.0
67,547262585,-0.06777766,6.4236554e-11,0.03284748,63.0,623414900.0
68,547325858,-0.07206096,9.996783e-11,0.031980835,65.0,185807940.0
69,547344442,-0.0696909,8.9314875e-11,0.027321449,71.0,251135970.0
70,554779051,-0.06986563,6.249733e-11,0.025838753,50.0,343844740.0
71,554807924,-0.07062037,7.8458316e-11,0.025473965,56.0,216172140.0
72,555001065,-0.06298801,1.0220683e-10,0.02069372,54.0,306654720.0
73,555019563,-0.06262639,9.0547125e-11,0.022135409,85.0,137369630.0
