,index,El_reference,C,init_threshold,spike_cut_length,R_input
0,313862167,-0.08029728,6.634369e-11,0.028035088,49.0,338132540.0
1,313862373,-0.07947364,7.8349154e-11,0.02761725,64.0,204068530.0
2,321708130,-0.07034894,7.583729e-11,0.02565309,56.0,161617260.0
3,323452196,-0.067000054,3.530429e-11,0.0240871,14.0,666427500.0
4,323475862,-0.07175226,7.250191e-11,0.026528796,68.0,254840320.0
5,324266189,-0.07083708,7.534046e-11,0.028000148,57.0,253700140.0
6,324493977,-0.071104325,8.613198e-11,0.029350819,44.0,222703440.0
7,327962063,-0.07568236,3.9141693e-11,0.026426475,49.0,503146620.0
8,333604946,-0.07346851,6.3506464e-11,0.023562461,26.0,243914510.0
9,333785962,-0.0666716,4.8183228e-11,0.023264948,1.0,189529780.0
10,341442651,-0.08184879,7.1158066e-11,0.02224461,21.0,99241700.0
11,396608557,-0.06711061,3.6955206e-11,0.029778434,15.0,318850400.0
12,466245544,-0.069559984,5.2866166e-11,0.028305616,38.0,173279600.0
13,469992918,-0.08154701,6.1862473e-11,0.025756028,8.0,109616120.0
14,471077468,-0.07154487,7.878463e-11,0.02613805,62.0,179793660.0
15,471077857,-0.07275071,6.806326e-11,0.02919456,69.0,271954270.0
16,471087830,-0.07109382,5.845927e-11,0.025352882,36.0,144319540.0
17,473540161,-0.067627944,6.3407224e-11,0.03438549,11.0,336681300.0
18,473543792,-0.05796569,4.604732e-11,0.015285057,44.0,635910800.0
19,473564515,-0.07117239,6.239454e-11,0.030806258,38.0,181864800.0
20,473943881,-0.07087196,7.653449e-11,0.029072663,55.0,151316580.0
21,474626527,-0.0629275,4.203578e-11,0.021441085,32.0,581798600.0
22,475057898,-0.072581865,1.166769e-10,0.02941254,48.0,306651840.0
23,475068599,-0.06892017,6.3747854e-11,0.030090008,48.0,190554110.0
24,475202388,-0.071124524,3.8087512e-11,0.029338863,40.0,379613950.0
25,475549284,-0.075623214,8.147816e-11,0.026576549,44.0,200524210.0
26,475585413,-0.06419591,6.044073e-11,0.026947564,74.0,279708030.0
27,475623964,-0.07603169,7.810222e-11,0.03130291,105.0,209922830.0
28,476686112,-0.069727264,7.1598755e-11,0.028249912,44.0,251525220.0
29,477880128,-0.06810757,5.968305e-11,0.029636137,46.0,218785820.0
30,478058328,-0.07049813,4.950041e-11,0.020011775,36.0,169278820.0
31,478110866,-0.07569543,6.147561e-11,0.032205377,62.0,543089860.0
32,479905853,-0.06351184,5.4031044e-11,0.025732903,40.0,247826020.0
33,481093525,-0.06870849,5.6990055e-11,0.028109288,33.0,162120200.0
34,481136138,-0.06645214,8.530242e-11,0.024838462,46.0,303956830.0
35,482516713,-0.069494605,7.266e-11,0.025301099,59.0,204738300.0
36,485184849,-0.07496948,7.562985e-11,0.029252607,38.0,130255570.0
37,486896849,-0.08343717,1.12212635e-10,0.027458379,51.0,107759740.0
38,487099387,-0.058627944,1.5899239e-11,0.015225319,44.0,1425775900.0
39,488501071,-0.079281785,7.192576e-11,0.023955718,42.0,93484650.0
40,488504814,-0.07132592,7.340048e-11,0.029575652,85.0,234912800.0
41,488677994,-0.07505039,7.930054e-11,0.029412419,48.0,143556590.0
42,490382353,-0.0676984,9.0107796e-11,0.029202681,62.0,163642160.0
43,490387590,-0.07424464,4.0484213e-11,0.037076533,5.0,155010750.0
44,509515969,-0.07422835,8.3175224e-11,0.027474437,54.0,183869620.0
45,509617624,-0.07285005,6.6642615e-11,0.02785656,47.0,210385000.0
