,El_reference,C,asc_amp_array_0,asc_amp_array_1,init_threshold,spike_cut_length,asc_tau_array_0,asc_tau_array_1,R_input,coeffs_th_inf,has_model
0,-0.07437941739825499,8.593040497784159e-11,-5.0997388780382704e-11,-1.766163373381764e-11,0.02836426260504936,72,0.3333333333333333,0.01,294699759.68958837,1.0487672066913558,True
1,-0.068439211640473,1.0024262878305642e-10,-6.739166585400503e-11,3.019932590185649e-11,0.02399625445450114,75,0.01,0.01,260063045.01921025,1.108328429332613,False
2,-0.07063546488306978,8.955788525308583e-11,-4.488243296015203e-11,-2.2050702609136038e-11,0.026570669006085415,66,0.01,0.01,192352684.716219,1.0395092824605539,False
3,-0.07497098558525445,5.7531547284852855e-11,-1.5158830678161472e-11,-5.332474774094633e-11,0.030355453766426507,65,0.3333333333333333,0.01,285659337.835008,0.9962050335775621,False
4,-0.07392755063262907,7.257903991599876e-11,-3.042638516664031e-11,-5.6463315345194967e-11,0.029301903743023917,69,0.3333333333333333,0.01,239212920.02121836,1.0339499955222435,False
5,-0.07352018697515249,5.8103563907356076e-11,-3.0404490687653015e-11,-5.173190411823616e-12,0.029399641038582367,68,0.3333333333333333,0.01,296900721.9892116,1.0501175488659928,True
6,-0.07209650435552432,9.552468209222837e-11,-5.294786001626125e-11,-5.163408637606708e-11,0.027327402744252938,72,0.01,0.01,213623094.13058212,1.0509099212045703,True
7,-0.073032808200598,5.982540526460165e-11,-2.466832455768003e-11,-5.208668898973081e-11,0.028517888619245237,74,0.3333333333333333,0.01,286522483.4159087,1.091379705804614,True
8,-0.07425339057989609,9.061251580366203e-11,-3.031749547255444e-11,-7.780905804963456e-11,0.028824783628011746,73,0.3333333333333333,0.01,247613539.65121824,1.044455209224511,False
9,-0.07454840450972658,7.98115619913143e-11,-3.375518677539066e-11,-6.530514059928821e-11,0.028875637337584647,73,0.3333333333333333,0.01,282282230.966889,1.045395493870798,False
10,-0.07551638679468646,1.1041101821359335e-10,-4.2517959107411106e-11,-1.6326760886441518e-10,0.029295018850380064,75,0.3333333333333333,0.01,142729703.84914672,1.0237527649701164,True
11,-0.07291179976325944,6.225643396406423e-11,-2.7826036180181275e-11,-8.970510221623377e-11,0.028891803265467343,67,0.3333333333333333,0.01,202039016.2866699,1.034090463390523,False
12,-0.07374008474203772,1.1562945587622038e-10,-4.558611972683046e-11,-9.215978275810891e-11,0.02731568597669873,84,0.3333333333333333,0.01,218655509.38255796,1.074805827820371,False
13,-0.07405098121003112,9.943433525685145e-11,-4.3422120118231445e-11,-7.039732515869654e-11,0.027867367755957967,76,0.3333333333333333,0.01,221137885.27433518,1.0637656228256647,False
14,-0.07156492145752043,8.270787021921742e-11,-4.0433772508571206e-11,-7.424474911848522e-11,0.027385926700101065,72,0.3333333333333333,0.01,211004135.08089703,1.0423184452868337,False
15,-0.07062830042976138,6.143375357355329e-11,-3.157960201211743e-11,-1.964668003931035e-11,0.026310465179206318,71,0.3333333333333333,0.01,283028590.66934013,1.0571582436167486,False
16,-0.07602430713486005,7.845578706449408e-11,-2.6193087915689882e-11,-8.996572565670854e-11,0.030644883770277142,67,0.3333333333333333,0.01,183857767.69339186,1.0260453937532494,True
17,-0.07337220050409385,7.669185416056286e-11,-4.4777511632566835e-11,-1.1839417776150148e-11,0.029003877229754053,68,0.3333333333333333,0.01,266505747.56859216,1.0392539210605864,False
18,-0.07369561509031596,7.731016698964015e-11,-2.5061482183916566e-11,-1.1475613339802117e-10,0.027858957110534602,77,0.3333333333333333,0.01,239467517.89438003,1.0531133662917431,False
19,-0.07229467948397858,6.29006889426825e-11,-3.5593586141294926e-11,-1.0189380472149236e-11,0.028147292657228474,67,0.3333333333333333,0.01,279034476.30507183,1.0393484514081117,True
20,-0.07074741872593127,8.20740554006358e-11,-4.745406724186348e-11,-7.573072327553353e-11,0.027719848295561067,68,0.3333333333333333,0.01,142750125.02863252,1.0389174684307196,True
21,-0.07192214695353388,7.513510639754236e-11,-2.751117308203901e-11,-9.829613236893227e-12,0.027804491355064787,71,0.3333333333333333,0.01,315229921.96793795,1.0519415211663163,True
22,-0.07177965489138463,1.3600213316037766e-10,-7.316331411666025e-11,4.82419252332214e-12,0.025834115519140537,83,0.01,0.01,265838739.3453178,1.0576391292101572,True
