,El_reference,C,asc_amp_array_0,asc_amp_array_1,init_threshold,spike_cut_length,asc_tau_array_0,asc_tau_array_1,R_input,coeffs_th_inf,has_model
0,-0.07232048197635155,7.593438224098916e-11,-6.011558318279423e-11,3.8387380374234884e-11,0.02891993873232557,53,0.3333333333333333,0.01,213858570.71141082,1.0834101997976169,True
1,-0.07056982383461889,9.480892351280818e-11,-5.298222824388095e-11,1.4417083896296648e-11,0.026754447986534237,92,0.1,0.01,288129243.51378447,1.030842987541847,False
2,-0.07042038080360608,9.544857865809795e-11,-5.337592246950302e-11,3.37135954735397e-11,0.0265278259017382,88,0.1,0.01,289383178.0725117,1.0095741774811278,False
3,-0.07013567369647955,8.995458297163e-11,-5.7832577040142116e-11,5.0899075158386207e-11,0.026281418818147082,89,0.01,0.01,289956937.91314834,1.0075679251181844,False
4,-0.07078425361544136,8.134661143719548e-11,-5.936686089032341e-11,2.6752467717214686e-11,0.026317298526920597,73,0.1,0.01,248176271.57876858,1.1280558379594425,False
5,-0.07281380545248965,8.336357444114547e-11,-5.908648152431205e-11,-3.507382881611453e-11,0.029431778596053698,66,0.3333333333333333,0.01,196869964.5055939,1.0044583675946963,True
6,-0.07300369490090193,9.896045772873707e-11,-5.990899957887378e-11,-5.110933474891389e-11,0.029601704476617887,67,0.3333333333333333,0.01,193510142.76869226,1.0871834192043561,True
7,-0.07268572734436701,6.420499651419457e-11,-3.5833262259555515e-11,-4.236456025190865e-11,0.0284155645313418,60,0.3333333333333333,0.01,257911978.45141333,1.0598207357112173,True
8,-0.07258065669342513,7.404993393771311e-11,-5.16930327866942e-11,6.098004598891595e-11,0.02857124907795154,46,0.3333333333333333,0.01,234839572.62970534,1.07235176190802,False
9,-0.07088015526738269,6.542915812644026e-11,-5.6167611027463736e-11,1.0255884601824083e-10,0.026760107138157428,53,0.01,0.01,256722098.72802266,0.9835169569257093,False
10,-0.07300340315630079,8.736652139542288e-11,-5.799802167576179e-11,-2.084617186316959e-11,0.0295779374704994,62,0.3333333333333333,0.01,198483245.99533343,1.008686404850929,True
11,-0.0710962774562932,8.274705269154143e-11,-5.101109676948541e-11,4.69944525466969e-11,0.02660990866421226,73,0.1,0.01,279713170.50517637,1.0876606134935447,False
12,-0.07026641825925378,9.307232524273089e-11,-5.6586388460412255e-11,3.1841670786231164e-11,0.0262923447770996,91,0.1,0.01,283821267.72418,1.0468274888048665,False
13,-0.07215390617164816,7.375539867597976e-11,-5.295082256726236e-11,6.52583520193249e-11,0.028260847708614666,49,0.3333333333333333,0.01,239862230.9566758,1.0564924814495174,False
14,-0.07168446803726035,5.6490475924638257e-11,-4.9326346404776176e-11,6.99416295481858e-11,0.027262937082602957,48,0.3333333333333333,0.01,251623945.7268193,1.0348837446455263,False
15,-0.07006190928408093,8.030574751446382e-11,-5.541815878771287e-11,1.2061095956242905e-10,0.026127005243731502,63,0.1,0.01,281594045.98272145,0.9662721831147139,False
16,-0.07026112757222083,9.321420896360289e-11,-5.4841006699509525e-11,4.6384433630823256e-11,0.026343248627015523,87,0.1,0.01,289921924.52832544,1.0166565703988892,True
17,-0.07262003498397979,1.0633824320756357e-10,-6.195764362910074e-11,-8.565593074851134e-11,0.028332272865578493,75,0.3333333333333333,0.01,192888011.23591846,1.1284203324247368,False
18,-0.0698454981305541,8.024827723580116e-11,-5.7707343288582744e-11,9.396603900420048e-11,0.02462425839361488,76,0.03333333333333333,0.01,278725501.0033519,1.1250707205264059,False
19,-0.06994116325628129,9.425511714300863e-11,-6.031067622518123e-11,7.741174528386033e-11,0.02598750163220566,79,0.01,0.01,279438348.6878191,1.0265707290339003,True
20,-0.07211938536503161,6.507448331545012e-11,-4.409219564397717e-11,3.037028855194335e-11,0.027846046618560036,54,0.3333333333333333,0.01,259886584.16787678,1.0347197622797197,True
21,-0.07097964391335376,5.564852339170365e-11,-5.65673705505377e-11,1.1959927882862566e-10,0.02701814055233956,49,0.01,0.01,248673266.38485476,0.9634267946891548,True
22,-0.06982930114915499,1.1482735476275074e-10,-6.832679822346994e-11,1.473094863290586e-10,0.0244957349809726,80,0.01,0.01,250515066.43159685,1.0125648980499748,True
23,-0.07275620285072391,9.075682485895395e-11,-6.113245885919673e-11,-3.3335578635181896e-11,0.029467657143613317,67,0.3333333333333333,0.01,193495999.55111653,1.0313097837127667,False
24,-0.07005529643370774,8.484609869546374e-11,-5.7170441508066724e-11,6.465185307440984e-11,0.026310611965759595,84,0.1,0.01,288300233.91370875,1.0200911866639757,False
25,-0.06985436843403517,1.1194290820127054e-10,-5.373463345013114e-11,2.2314528984047378e-10,0.024948847144832823,63,0.01,0.01,304599705.8022698,1.0317278324051755,False
26,-0.07288013737989843,9.437799739983844e-11,-6.200129559639616e-11,-7.379710477011614e-11,0.029334336445907966,73,0.3333333333333333,0.01,186094433.61033782,1.0623079568695202,True
27,-0.06948162505840122,7.199059354611145e-11,-3.9446510102785054e-11,1.5050395490075395e-10,0.02474920037847211,67,0.3333333333333333,0.01,335981421.2000762,1.229785329567254,False
28,-0.07272645926959621,8.91209646959215e-11,-6.122164268156109e-11,-1.8990342911759152e-11,0.02905795191152061,63,0.3333333333333333,0.01,198613964.24513173,1.0812710817582711,True
29,-0.07286888847776166,7.461916627429002e-11,-4.74396497975363e-11,-1.3726627265037184e-11,0.029121180287812153,60,0.3333333333333333,0.01,228412683.57335517,1.0471571371752446,True
30,-0.07032237101310294,8.839062987559417e-11,-5.614785737061815e-11,3.835474803963343e-11,0.026412087010496698,87,0.1,0.01,282278197.58034647,1.0419043569554562,True
31,-0.0704460268066551,7.181026376001763e-11,-3.959677868645752e-11,-6.84938986996062e-12,0.025931821757581085,104,0.1,0.01,333969717.35194546,1.0365460259328807,True
32,-0.06968140045015808,9.098459469114644e-11,-6.465202278969574e-11,1.3136628430249334e-10,0.025349462875525433,72,0.03333333333333333,0.01,264183065.65911657,1.0539884609977292,False
33,-0.07003913047455256,9.397524023426524e-11,-5.57927596495063e-11,9.419631906458928e-11,0.025199073000583046,78,0.01,0.01,286990081.9357236,1.1423696698624288,True
34,-0.0703748334206957,9.015560221900549e-11,-5.555615572255797e-11,1.0379223281857825e-10,0.026416566630925127,67,0.1,0.01,278669846.2115591,1.0251865737210752,False
35,-0.07024607232764658,8.79832675021938e-11,-5.85892286452154e-11,7.477016110695882e-11,0.02593007365525663,76,0.1,0.01,275018649.81979364,1.0825144527437394,False
36,-0.07277097057325115,7.285502629827706e-11,-5.792165228100437e-11,2.7727567206480413e-11,0.029254878027799,52,0.3333333333333333,0.01,202375288.71038884,0.9514655515733853,True
37,-0.07194928600920175,8.058817381547247e-11,-6.547027562923776e-11,3.8173487685287717e-11,0.028409435986605603,58,0.3333333333333333,0.01,200298000.98101538,1.0209807432586617,False
38,-0.07075375497841978,5.5633922581198393e-11,-3.142201892217531e-11,-1.6947816434243465e-11,0.026210083265641237,78,0.3333333333333333,0.03333333333333333,319649369.41695035,1.0671080035404676,False
39,-0.071671408601034,5.91750280582279e-11,-5.5953936525348186e-11,1.2083467741417211e-10,0.028042681611328224,44,0.01,0.01,234423519.67764926,0.9374239359391747,True
40,-0.07105064148179063,1.1255576808668042e-10,-5.471689110681787e-11,1.8907166771980842e-11,0.02630019763043509,80,0.1,0.01,268593467.3859793,1.0859117700217567,False
41,-0.07297668671618575,8.216995809503031e-11,-5.7519887033197626e-11,-2.0372835803437018e-11,0.02966642328991315,61,0.3333333333333333,0.01,199507642.67071533,1.0090915664383677,True
42,-0.07040148097270571,8.885511753713275e-11,-5.197004138766028e-11,4.3052698120745715e-11,0.026596883235167415,85,0.1,0.01,289216202.5889329,0.9874334939795911,False
43,-0.07189329328394126,8.261548031868975e-11,-6.598241780742951e-11,4.170908868217564e-11,0.028391066658726826,57,0.01,0.01,206077194.67055267,0.9973714647114456,False
44,-0.07248467117084735,5.922062152168023e-11,-4.9623090376531153e-11,3.702932998828221e-11,0.028898788996368673,48,0.3333333333333333,0.01,230867408.4142454,0.8865571752776389,False
45,-0.06987926243655945,7.581342034190923e-11,-5.815814297702952e-11,1.1999004223950188e-10,0.025976341819424015,67,0.01,0.01,283379266.47060615,1.0080632798660765,True
46,-0.07107632703655978,5.913193636306336e-11,-5.362011440793671e-11,1.0531086260694356e-10,0.027388017630305007,47,0.3333333333333333,0.01,251182678.17513287,0.8856527074355172,False
47,-0.07094040353227762,6.119124176186286e-11,-3.062224034467924e-11,6.805385725602619e-12,0.027032734394873227,69,0.3333333333333333,0.01,322192053.6683105,1.1541496736034056,True
48,-0.07033413914298398,7.029256716818214e-11,-3.63200613392776e-11,6.32724864155863e-11,0.024919430763548488,93,0.1,0.01,330355449.6904626,1.223811737365104,True
49,-0.07058851948420232,5.702323182637239e-11,-2.4207896388586242e-11,2.1365368922041777e-11,0.02539139465011426,77,0.3333333333333333,0.01,349441353.1003139,1.1851895438234252,False
50,-0.07006202117332963,9.07903377420383e-11,-5.898749734724845e-11,5.5166653178281697e-11,0.026039191716342367,85,0.1,0.01,277779839.3163128,1.0495444597787749,False
51,-0.07069787587870428,9.613034204066966e-11,-5.2885879472981063e-11,2.3496451658865833e-11,0.026693244489247963,87,0.1,0.01,289076683.9623319,1.0505331344811333,True
52,-0.07123896950367782,1.1074966871721118e-10,-5.5837577442364315e-11,3.686606814999363e-11,0.025891974581359587,75,0.03333333333333333,0.01,261726265.86234054,1.179123983497902,True
53,-0.07264585886381016,8.688130953688449e-11,-6.392321477922854e-11,-3.662421249953552e-11,0.02924345849680504,69,0.3333333333333333,0.01,185547258.46538138,0.986876867817377,True
54,-0.07098179935027199,6.216723445693149e-11,-3.2090782571804394e-11,-2.501251854792147e-11,0.026301414991686006,81,0.3333333333333333,0.01,317979075.8775514,1.1769248289615208,True
55,-0.07273856252085215,9.344686260139895e-11,-6.313672125009093e-11,-7.594550861262394e-11,0.029095675501230715,74,0.3333333333333333,0.01,183391221.44106615,1.0346098091941556,True
56,-0.07266168992918678,9.215275507520533e-11,-6.459358873634807e-11,-5.938861056689603e-11,0.029256073544224534,73,0.3333333333333333,0.01,182616561.56762594,1.0074389394061154,True
57,-0.07268166448325152,9.133504771500079e-11,-6.430199151935845e-11,-8.927211410008231e-11,0.029005647046006413,76,0.1,0.01,179205622.82172143,1.0390600094852067,True
58,-0.06974219044136955,8.473409635900679e-11,-5.959225134358602e-11,7.30602528752663e-11,0.025946343502746452,84,0.1,0.01,281664878.9456202,1.0350598252151857,False
59,-0.0704424652653186,9.89670322325619e-11,-5.738133862550493e-11,3.7891983855226015e-11,0.026461629344542867,84,0.1,0.01,281461273.13887393,1.0246878165863789,False
60,-0.07040260115167453,9.56880037412748e-11,-5.580765653207216e-11,7.034999367154147e-11,0.025965627568798555,76,0.3333333333333333,0.01,278478185.75199914,1.1083811895788598,True
61,-0.06999584122150601,9.535468986868038e-11,-6.636101325331119e-11,8.730459277632859e-11,0.02430556300498043,71,0.03333333333333333,0.01,236034331.7479535,1.225639343703848,False
62,-0.07055086991312616,5.718342578891567e-11,-2.777899040739136e-11,5.945542743642545e-11,0.026273157669467907,69,0.3333333333333333,0.01,350855763.8847929,1.1719902092080523,True
63,-0.0697995391428468,5.612430024625265e-11,-3.514618117995636e-11,1.0875673099460505e-10,0.024590277695644903,80,0.1,0.01,344426955.1372926,1.191284695681284,True
64,-0.07285882592894681,9.365409444221912e-11,-5.825048478166822e-11,-4.813958585372494e-11,0.029335407924132494,69,0.3333333333333333,0.01,199502935.2116236,1.03393400451471,False
65,-0.07260460866198357,9.383853775847191e-11,-6.393696633373264e-11,-5.112937920740239e-11,0.029135763238616108,71,0.3333333333333333,0.01,185313558.90513217,1.0220086534279194,False
66,-0.07282426248009387,9.312321990750642e-11,-5.594584432289108e-11,-6.110805716076649e-11,0.02901662885319317,71,0.3333333333333333,0.01,205937934.49434042,1.082374910795983,False
67,-0.070034966319219,9.372102017273294e-11,-5.865411777382973e-11,8.302518970629213e-11,0.025773737497986202,80,0.01,0.01,286870387.5605047,1.0625564885453411,True
68,-0.06988711439991944,8.860722334395223e-11,-6.415783856256731e-11,1.4429107173572316e-10,0.02597931425461605,65,0.01,0.01,260817976.0872549,1.1372095880360642,True
69,-0.06957093417985151,7.919516142778798e-11,-6.100414934135474e-11,1.6810814186320095e-10,0.025453246586479135,63,0.01,0.01,279609743.38786364,1.103922282056038,True
70,-0.0707668284517839,4.7959490098418316e-11,-4.549639614256385e-11,7.539708482247808e-11,0.02625483091606512,53,0.3333333333333333,0.01,278365637.812784,1.0344338080701334,False
71,-0.07277049271282551,9.044051945900972e-11,-5.895892726753551e-11,-1.1294368842976139e-11,0.02952047081159164,64,0.3333333333333333,0.01,200438796.08166844,1.0210499395201404,False
72,-0.07007670149798566,9.808985768909339e-11,-5.885053092352636e-11,8.788360623453004e-11,0.02555482863637572,74,0.03333333333333333,0.01,278074023.9444359,1.0646639710690746,False
73,-0.07059306494789622,8.62174886635303e-11,-5.515846481986642e-11,7.776760812398664e-11,0.02630827701871701,69,0.3333333333333333,0.01,275009197.4088161,1.0355957469857384,False
74,-0.07282933363187594,9.162836286305877e-11,-6.289139946914132e-11,-6.120276032375606e-11,0.029525143123939897,72,0.3333333333333333,0.01,185360493.6734302,1.0415831027549116,True
75,-0.06980212197840754,8.369699387406906e-11,-5.774762228853349e-11,9.560581423844458e-11,0.02598403251345479,79,0.01,0.01,291981397.55340135,1.020052603910344,False
76,-0.07147272540788727,6.122402936503006e-11,-4.033051987325664e-11,1.063925633208017e-10,0.02766754626435827,49,0.3333333333333333,0.01,284877430.55194336,1.0411042118975784,True
77,-0.07282068885452703,9.693026178768756e-11,-6.35152409740573e-11,-9.051493351403034e-11,0.02917434695155389,76,0.1,0.01,180422932.41340935,1.0399635125563085,True
78,-0.0703995081843658,6.319410812312463e-11,-3.750899708857029e-11,8.589623739768251e-11,0.02587500945460473,72,0.3333333333333333,0.01,342234267.12955844,1.092543864527305,False
79,-0.06987606783140528,4.786622173293106e-11,-3.031287261148722e-11,8.306189428491904e-11,0.025559841630788165,84,0.1,0.01,357040003.4762585,1.0521705345067576,True
80,-0.07099336661075634,6.395891829632456e-11,-5.1419968345190066e-11,8.721320424959264e-11,0.027559758955457266,60,0.3333333333333333,0.01,255613238.91096804,1.0234109338405544,True
