,index,El_reference,C,init_threshold,spike_cut_length,R_input
0,313862167,-0.076268315,6.0221404e-11,0.029659279,28.0,230901470.0
1,313862373,-0.07055513,6.9551864e-11,0.033083014,78.0,146801540.0
2,321708130,-0.07154742,9.478061e-11,0.027716817,62.0,205544350.0
3,323452196,-0.07645446,4.9227736e-11,0.02706255,29.0,384614340.0
4,323475862,-0.06814816,6.055069e-11,0.031062752,35.0,417065120.0
5,324266189,-0.06925274,8.3021326e-11,0.03007134,37.0,309052800.0
6,324493977,-0.07200176,8.337185e-11,0.03323897,35.0,245515940.0
7,327962063,-0.07502156,3.8058248e-11,0.024783624,44.0,502429280.0
8,333604946,-0.0766959,6.714852e-11,0.024550077,38.0,179479470.0
9,333785962,-0.06981904,4.964735e-11,0.03265759,27.0,225206580.0
10,341442651,-0.08515162,6.782986e-11,0.027643789,35.0,109565110.0
11,396608557,-0.0703736,4.4064467e-11,0.030554198,24.0,221807700.0
12,466245544,-0.06966884,5.3336415e-11,0.025034223,30.0,131453320.0
13,469992918,-0.07907615,8.209574e-11,0.022298226,36.0,93619360.0
14,471077468,-0.07417324,5.4551703e-11,0.026024226,8.0,163415100.0
15,471077857,-0.0728156,7.262232e-11,0.028219545,68.0,233152290.0
16,471087830,-0.07580146,4.0546032e-11,0.024611391,12.0,140771380.0
17,473540161,-0.07098133,3.9919252e-11,0.035757817,9.0,204792220.0
18,473543792,-0.073455974,6.055797e-11,0.027652405,44.0,719536200.0
19,473564515,-0.07168785,5.508557e-11,0.033519965,26.0,182741040.0
20,473943881,-0.06932977,5.679083e-11,0.026804823,27.0,142529390.0
21,474626527,-0.060999226,3.7131416e-11,0.024757426,46.0,390315070.0
22,475057898,-0.07069957,1.1903535e-10,0.027624058,54.0,307714080.0
23,475068599,-0.06514286,6.9857516e-11,0.025246125,57.0,136439780.0
24,475202388,-0.071120806,2.9088301e-11,0.033225667,63.0,1421678100.0
25,475549284,-0.07544556,9.093984e-11,0.027704598,74.0,182247460.0
26,475585413,-0.06262465,3.5772402e-11,0.024386583,68.0,330862800.0
27,475623964,-0.0754799,6.213991e-11,0.029707758,110.0,284093300.0
28,476686112,-0.06669693,7.5165776e-11,0.025704596,54.0,212451200.0
29,477880128,-0.06851289,6.709705e-11,0.028435087,65.0,229542400.0
30,478058328,-0.0693763,4.4536035e-11,0.021238552,19.0,164302400.0
31,478110866,-0.07546781,7.203449e-11,0.02734345,67.0,453897500.0
32,479905853,-0.068832524,5.3504232e-11,0.028485036,57.0,186198180.0
33,481093525,-0.069380574,7.083388e-11,0.025813362,45.0,152790720.0
34,481136138,-0.07017778,1.1163475e-10,0.023226772,104.0,246267280.0
35,482516713,-0.069249064,5.799826e-11,0.024858579,26.0,302792060.0
